,Match_info,Match_data
0,Match No: ,20
1,Batters: ,"['Hardik Pandya', 'Jitesh Sharma', 'Mitchell Santner', 'Naman Dhir', 'Phil Salt', 'Rajat Patidar', 'Rohit Sharma', 'Romario Shepherd', 'Ryan Rickelton', 'Sherfane Rutherford', 'Suryakumar Yadav', 'Tilak Varma', 'Tim David', 'Virat Kohli']"
2,Bowlers: ,"['Bhuvneshwar Kumar', 'Hardik Pandya', 'Jacob Duffy', 'Jasprit Bumrah', 'Krunal Pandya', 'Mayank Markande', 'Mitchell Santner', 'Rasikh Salam Dar', 'Romario Shepherd', 'Shardul Thakur', 'Suyash Sharma', 'Trent Boult']"
3,Total Sixes: ,29
